"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 11 16:17:48 GMT 2024","Sun Feb 11 16:17:53 GMT 2024","5699","Surefire suite","Surefire test","Test.MixUIAndAPITest","Test.MixUIAndAPITest","beAbleToRegisterUser","beAbleToRegisterUser","Verify to register user from UI and API"
"passed","Sun Feb 11 16:17:48 GMT 2024","Sun Feb 11 16:17:54 GMT 2024","6543","Surefire suite","Surefire test","Test.MixUIAndAPITest","Test.MixUIAndAPITest","addToDoAndDeleteToDo","addToDoAndDeleteToDo","Add to do and delete to do via API and UI"
"passed","Sun Feb 11 16:17:48 GMT 2024","Sun Feb 11 16:17:52 GMT 2024","4216","Surefire suite","Surefire test","Test.UserRegistrationTest","Test.UserRegistrationTest","addToDoAndDeleteToDo","addToDoAndDeleteToDo","Verify to add delete and delete it."
"passed","Sun Feb 11 16:17:48 GMT 2024","Sun Feb 11 16:17:51 GMT 2024","2873","Surefire suite","Surefire test","Test.UserRegistrationTest","Test.UserRegistrationTest","beAbleToRegisterUser","beAbleToRegisterUser","Verify to register user from UI"
